,Topic,Context
197,Thời gian học tập ngành Quản trị kinh doanh,"Chương trình gồm 9 học kỳ chuyên ngành trong đó có 1 học kỳ học tập tại doanh nghiệp (OJT), chưa kể thời gian rèn luyện tập trung và thời gian học tiếng Anh dự bị (phụ thuộc vào trình độ tiếng Anh đầu vào của sinh viên"
198,Yêu cầu đầu vào ngành quản trị kinh doanh,"– Theo Quy chế tuyển sinh Đại học, Cao Đẳng hệ chính quy của Bộ Giáo dục và Đào tạo  – Theo Quy chế tuyển sinh của Trường Đại học FPT."
199,Cấu trúc chương trình ngành Quản trị kinh doanh,"Khối lượng kiến thức toàn khoá: 145 tín chỉ, chưa kể chương trình Định hướng và Rèn luyện tập trung, Tiếng Anh chuẩn bị.  STT   Module   Thời gian/Số học phần   Số tín chỉ   Ghi chú 1   Chương trình Định hướng và Rèn luyện tập trung   5 tuần   0   Chứng chỉ GDQP 2   Chương trình Tiếng Anh chuẩn bị   0-1 năm   0   Chứng chỉ 3   Chương trình Giáo dục thể chất   xen kẽ   6   Chứng chỉ 4   Chương trình chuyên môn, gồm cả đào tạo trong môi trường thực tế (OJT)   9 Học kỳ   139   Tích lũy điểm 4.1   Kiến thức kỹ năng chung   13 Học phần   35    4.2   Kiến thức kỹ năng ngành (kể cả OJT)   16 Học phần   55    4.3   Kiến thức kỹ năng chuyên ngành   11 Học phần   38    4.4   Kiến thức kỹ năng lựa chọn   5 Học phần   15   "
200,Vị trí việc làm sau khi tốt nghiệp ngành Quản trị kinh doanh,"Sau khi tốt nghiệp chương trình, các cử nhân QTKD có thể đảm nhận được các vị trí chuyên viên chuyên môn, trưởng nhóm kinh doanh tại các công ty, tập đoàn trong nước và nước ngoài, hoặc các vị trí là phụ trách hay CEO của các start-up. Các sinh viên có nhiều cơ hội để trở thành các trưởng phòng, nhà quản lý cấp trung các bộ phận chức năng trong các doanh nghiệp.  Sau khi tốt nghiệp, các cử nhân có thể học tiếp các bằng chứng chỉ nghề chuyên nghiệp, hoặc bằng cao học về Quản trị Kinh doanh và cao học về các chuyên ngành tương ứng.  Vị trí việc làm cụ thể sẽ được mô tả trong các chuyên ngành của ngành Quản Trị Kinh Doanh."
201,Tổng quan về chuyên ngành Tài chính thuộc ngành Quản trị kinh doanh,"Trong nền kinh tế ngày nay, tài chính có thể được so sánh như xương sống của mọi tổ chức và doanh nghiệp. Công tác quản trị tài chính đóng vai trò cốt yếu, trở thành một khía cạnh quan trọng của quản trị chiến lược, hỗ trợ doanh nghiệp đưa ra quyết định đầu tư, phát triển sản phẩm, dịch vụ, đồng thời, đảm bảo cho sự phát triển ổn định và bền vững của một tổ chức nói riêng và nền kinh tế nói chung.  Chuyên ngành Tài chính tại Trường Đại học FPT cung cấp cho người học kiến thức bao quát về thị trường tài chính; trang bị các kiến thức chuyên sâu về mô hình tài chính, định giá, đầu tư tài chính và quản lý rủi ro. Chương trình đào tạo các kỹ năng và công cụ cần thiết cho quá trình phân tích tài chính chuyên sâu, đưa ra quyết định đầu tư, thực hiện nghiên cứu độc lập, đặc biệt là trong các lĩnh vực quan trọng: Tài chính đầu tư, Tài chính doanh nghiệp và Công nghệ tài chính (Fintech). Bên cạnh, sinh viên còn được tiếp cận và mở rộng vốn kiến thức liên ngành về Quản trị truyền thông, Thương mại quốc tế, Quản trị Du lịch – Khách sạn, để có khả năng áp dụng và phát triển năng lực về quản trị tài chính trong các mô hình và cơ hội nghề nghiệp đa dạng trên toàn cầu."
202,Triển vọng nghề nghiệp của chuyên ngành Tài chính,"Theo số liệu dự báo, giai đoạn 2020 – 2025, nhu cầu nhân lực cấp cao cho ngành tài chính tăng 20% mỗi năm. Riêng tại TP. HCM, nhu cầu nhân lực nhóm ngành này đến năm 2025 chiếm tỉ trọng 5% (khoảng 15.000 lao động) tổng số việc làm cần tuyển hàng năm, trong đó, trình độ ĐH-CĐ trở lên chiếm tỉ lệ 80,4% nhu cầu tuyển dụng.  Chuyên gia dự báo nguồn nhân lực TP. HCM cho biết, ngành Tài chính đáp ứng đa dạng lĩnh vực, do đó nhu cầu nhân lực đối với ngành này luôn nằm trong “top” đầu. Tuy nhiên, thị trường hiện nay khát nhân lực chất lượng cao với khả năng ứng dụng tốt công nghệ, thành thạo ngoại ngữ và vững nghiệp vụ.  Cử nhân tốt nghiệp chuyên ngành Tài chính tại Trường Đại học FPT có thể đảm nhận các vị trí:  – Chuyên viên Quản trị tài chính   – Chuyên viên Phân tích tài chính  – Chuyên viên Nghiên cứu thị trường  – Chuyên viên Tư vấn đầu tư  – Chuyên viên Quản trị rủi ro  – Chuyên viên Kế toán  – Chuyên viên Kiểm toán, thuế  – Chuyên viên Tín dụng  – Quản lý bộ phận Kinh doanh – Tài chính  – Founder khởi nghiệp Kinh doanh – Tài chính"
203,Đào tạo chuyên ngành Tài chính thuộc ngành Quản trị kinh doanh,"Chương trình học tập gắn liền thực tiễn Chương trình đào tạo nghiệp vụ quản trị tài chính chuyên sâu gắn liền với nhu cầu thị trường giúp người học trở thành những chuyên gia trong các lĩnh vực về quản trị tài chính, các nhà quản lý, doanh nhân sở hữu kiến thức và kỹ năng vượt trội để sẵn sàng làm việc trong lĩnh vực tài chính/fintech trong nước và quốc tế.   Nhà trường chú trọng kết nối sinh viên với doanh nghiệp giúp người học có cơ hội tiếp cận, trau dồi nghiệp vụ từ khi còn ngồi trên ghế nhà trường. Sinh viên Đại học FPT được tham gia Học kỳ đào tạo trong doanh nghiệp (OJT) ở học kỳ 6 chuyên ngành tại các doanh nghiệp:  FPT Securities , Amazing Tech, FPT Software, FPT Retail, FPT Telecom, VnExpress, TPBank, FPT Online, FPT Sendo, FPT Securities, Amazing Tech, Đài Truyền hình TP. HCM (HTV), Idp Education, Tanigawa Vietnam… và hơn 300 doanh nghiệp là đối tác của Tập đoàn FPT trên toàn thế giới. Được sự hướng dẫn của các mentor từ doanh nghiệp, tiếp cận các dự án, bài toán hiện có trên thị trường giúp sinh viên có hiểu biết thực tế, tiết kiệm thời gian thực tập sau tốt nghiệp và có định hướng phát triển phù hợp trong tương lai. Từ đó, tăng khả năng cạnh tranh trên thị trường lao động với những đòi hỏi khắt khe.  Tăng cường tính cạnh tranh toàn cầu cho người học Đại học FPT chú trọng phát triển ngoại ngữ giúp sinh viên tăng khả năng cạnh tranh trên thị trường lao động chất lượng cao, mở ra cơ hội sự nghiệp toàn cầu.  Trong quá trình học tập, sinh viên chuyên ngành Tài chính sử dụng tiếng Anh và giáo trình bản quyền quốc tế. Sinh viên đạt trình độ Tiếng Anh tối thiểu tương đương IELTS 6.0, thành thạo ngoại ngữ thứ hai là Tiếng Trung và được trải nghiệm ít nhất 1 học kỳ học tập chuyên ngành ở nước ngoài tại các trường đại học danh tiếng trên thế giới. Sử dụng thành thạo hai ngoại ngữ giúp người học tăng ưu thế cạnh tranh, sẵn sàng tham gia thị trường lao động quốc tế.   Đào tạo nghiệp vụ ứng dụng xu hướng công nghệ Hướng đến xây dựng năng lực cho người học trở thành chuyên gia trong việc phân tích, hoạch định, quản trị và thực thi các hoạt động tài chính trong các lĩnh vực tài chính đầu tư và tài chính doanh nghiệp, cùng với xu thế của thời đại, chương trình chú trọng tiếp cận theo hướng công nghệ tài chính (Fintech). Sinh viên được trang bị kiến thức về lập trình, khoa học dữ liệu, trí tuệ nhân tạo, blockchain và crypto-currency để có thể ứng dụng, vận hành, hoặc phát triển các giải pháp, các sản phẩm tài chính có tính sáng tạo đổi mới, mang lại hiệu quả kinh doanh, hoặc có thể khởi nghiệp từ khi đang là sinh viên.  Xây dựng tinh thần khởi nghiệp từ giảng đường Tại Đại học FPT, sinh viên được xây dựng tinh thần khởi nghiệp ngay từ giảng đường. Kiến thức khởi nghiệp thực tế sẽ được đào tạo thông qua các học phần, buổi gặp gỡ doanh nghiệp, các sự kiện, cuộc thi liên quan đến lĩnh vực tài chính. Sinh viên thường xuyên có cơ hội học hỏi, tìm hiểu kinh nghiệm và được trực tiếp hướng dẫn các dự án khởi nghiệp từ những chuyên gia, Founder và C-level nổi bật của làng startup về tài chính/fintech trong và ngoài nước."
204,Chương trình học chuyên ngành Tài chính thuộc ngành Quản trị kinh doanh,"Chương trình học gồm 9 học kỳ, mỗi năm 3 học kỳ.  HỌC KỲ   NĂNG LỰC ĐẦU RA Nền tảng   Sinh viên thông thạo kỹ năng đọc hiểu giáo trình Tiếng Anh, học tập và giao tiếp với giảng viên và sinh viên quốc tế.    Học kỳ 1   Sinh viên hiểu và có kỹ năng phân tích các yếu tố bên trong và bên ngoài ảnh hưởng đến hoạt động kinh doanh của doanh nghiệp.  Đồng thời, được rèn luyện thể chất, phát triển cá nhân toàn diện, có kỹ năng học tập hiệu quả bậc đại học.    Học kỳ 2   Sinh viên có thể vận dụng linh hoạt các kiến thức, kỹ năng quản trị kinh doanh và các công cụ phân tích vào triển khai điều hành và quản lý hoạt động kinh doanh của công ty. Tiếp cận ngoại ngữ thứ 2 là Tiếng Trung.    Học kỳ 3   Sinh viên sử dụng Tiếng Nhật ở mức độ căn bản, học cách giao tiếp cơ bản với hệ cơ sở dữ liệu, thiết kế Database. Sinh viên có khả năng thiết kế giao diện của một website và thông thạo ngôn ngữ thiết kế phần mềm UML.  Học kỳ 4   Sinh viên có kỹ năng quản lý hoạt động tài chính trong doanh nghiệp. Áp dụng các mô hình cũng như công cụ phân tích kế hoạch thực hiện, đánh giá và điều hành các hoạt động quản lý tài chính doanh nghiệp.   Học kỳ 5   Sinh viên có kiến thức và kỹ năng chuyên sâu về Tài chính hoặc có kiến thức và kỹ năng cơ bản về một chuyên ngành gần.     Học kỳ 6   Sinh viên được làm việc thực tế từ 4 – 8 tháng tại các doanh nghiệp đầu ngành như FPT Software, FPT Retail, FPT Telecom, VnExpress, TPBank, FPT Online, FPT Sendo, FPT Securities , Amazing Tech, Đài Truyền hình TP. HCM (HTV), Idp Education, Tanigawa Vietnam… và hơn 300 doanh nghiệp là đối tác của Tập đoàn FPT trên toàn thế giới.    Học kỳ 7   Sinh viên được trang bị kiến thức về khởi sự doanh nghiệp.   Học kỳ 8   Sinh viên có kiến thức cơ bản về khoa học xã hội, chính trị pháp luật, an ninh quốc phòng, góp phần hình thành thế giới quan và phương pháp luận khoa học. Đồng thời, được trang bị kiến thức làm việc về quản lý dự án thực tế và kiến thức thực hiện nghiên cứu khoa học.    Học kỳ 9   Sinh viên thực hiện đồ án từ các đợt đặt hàng của doanh nghiệp, tự tin làm việc tại các cường quốc trên thế giới.Chương trình học gồm 9 học kỳ, mỗi năm 3 học kỳ.  HỌC KỲ   NĂNG LỰC ĐẦU RA Nền tảng   Sinh viên thông thạo kỹ năng đọc hiểu giáo trình Tiếng Anh, học tập và giao tiếp với giảng viên và sinh viên quốc tế.    Học kỳ 1   Sinh viên hiểu và có kỹ năng phân tích các yếu tố bên trong và bên ngoài ảnh hưởng đến hoạt động kinh doanh của doanh nghiệp.  Đồng thời, được rèn luyện thể chất, phát triển cá nhân toàn diện, có kỹ năng học tập hiệu quả bậc đại học.    Học kỳ 2   Sinh viên có thể vận dụng linh hoạt các kiến thức, kỹ năng quản trị kinh doanh và các công cụ phân tích vào triển khai điều hành và quản lý hoạt động kinh doanh của công ty. Tiếp cận ngoại ngữ thứ 2 là Tiếng Trung.    Học kỳ 3   Sinh viên sử dụng Tiếng Nhật ở mức độ căn bản, học cách giao tiếp cơ bản với hệ cơ sở dữ liệu, thiết kế Database. Sinh viên có khả năng thiết kế giao diện của một website và thông thạo ngôn ngữ thiết kế phần mềm UML.  Học kỳ 4   Sinh viên có kỹ năng quản lý hoạt động tài chính trong doanh nghiệp. Áp dụng các mô hình cũng như công cụ phân tích kế hoạch thực hiện, đánh giá và điều hành các hoạt động quản lý tài chính doanh nghiệp.   Học kỳ 5   Sinh viên có kiến thức và kỹ năng chuyên sâu về Tài chính hoặc có kiến thức và kỹ năng cơ bản về một chuyên ngành gần.     Học kỳ 6   Sinh viên được làm việc thực tế từ 4 – 8 tháng tại các doanh nghiệp đầu ngành như FPT Software, FPT Retail, FPT Telecom, VnExpress, TPBank, FPT Online, FPT Sendo, FPT Securities , Amazing Tech, Đài Truyền hình TP. HCM (HTV), Idp Education, Tanigawa Vietnam… và hơn 300 doanh nghiệp là đối tác của Tập đoàn FPT trên toàn thế giới.    Học kỳ 7   Sinh viên được trang bị kiến thức về khởi sự doanh nghiệp.   Học kỳ 8   Sinh viên có kiến thức cơ bản về khoa học xã hội, chính trị pháp luật, an ninh quốc phòng, góp phần hình thành thế giới quan và phương pháp luận khoa học. Đồng thời, được trang bị kiến thức làm việc về quản lý dự án thực tế và kiến thức thực hiện nghiên cứu khoa học.    Học kỳ 9   Sinh viên thực hiện đồ án từ các đợt đặt hàng của doanh nghiệp, tự tin làm việc tại các cường quốc trên thế giới."
205,Tổng quan về chuyên ngành Digital Marketing thuộc ngành Quản trị kinh doanh,"Chuyên ngành Digital Marketing đang đóng vai trò ngày càng quan trọng trong bối cảnh kinh tế và công nghệ toàn cầu hóa hiện nay. Với sự bùng nổ của Internet và mạng xã hội, việc quảng bá, tiếp cận khách hàng qua các kênh trực tuyến trở thành yếu tố không thể thiếu đối với sự thành công của mọi doanh nghiệp.  Chuyên ngành Digital Marketing tại Trường Đại học FPT hướng đến trang bị năng lực cạnh tranh toàn diện cho người học, đáp ứng nhu cầu của thị trường với chương trình được thiết kế vừa đảm bảo kiến thức nền tảng vững chắc về quản trị và marketing, vừa liên tục cập nhật phù hợp với dòng chảy thay đổi của ngành. Đào tạo người học thành các chuyên gia trong lĩnh vực quản trị Digital Marketing, các nhà quản lý, doanh nhân với kiến thức và kỹ năng cần thiết để làm việc trong lĩnh vực Marketing trong môi trường quốc tế.  Sinh viên được học chuyên sâu về các khía cạnh digital marketing (như social media marketing, công cụ tìm kiếm, SEO, ứng dụng AI vào marketing…) cũng như rèn luyện tư duy, kỹ năng làm việc thông qua các dự án thực tế cùng chuyên gia và đại diện doanh nghiệp trong suốt quá trình học và làm khóa luận tốt nghiệp. Từ đó, sẵn sàng bước vào hội nhập thị trường lao động trong, ngoài nước."
206,Triển vọng nghề nghiệp chuyên ngành Digital Marketing thuộc ngành Quản trị kinh doanh,"Triển vọng nghề nghiệp trong lĩnh vực Digital Marketing vô cùng rộng mở. Doanh nghiệp ngày càng nhận ra tầm quan trọng của hiệu quả phân tích dữ liệu, theo dõi hiệu suất, cũng như việc xây dựng chiến lược quảng cáo kỹ thuật số để thu hút và giữ chân khách hàng. Nhu cầu nhân lực trong lĩnh vực Digital Marketing đang ngày càng tăng cao. Doanh nghiệp đang săn đón những chuyên gia có khả năng áp dụng kiến thức mới nhất về công nghệ, xu hướng quảng cáo và phương tiện truyền thông số để nâng cao hiệu quả tiếp thị.  Cử nhân tốt nghiệp chuyên ngành Digital Marketing tại Đại học FPT có thể đảm nhận các vị trí:  Chuyên viên Digital Marketing  Chuyên viên Marketing Content  Chuyên viên SEO, SEM  Chuyên viên Nghiên cứu Thị trường  Chuyên viên – Quản lý Kinh doanh  Chuyên viên Quan hệ khách hàng  Chuyên viên Chăm sóc khách hàng  Chuyên viên Quan hệ công chúng  Chuyên viên Quảng cáo  Chuyên viên Quản trị thương hiệu/Branding  Chuyên viên – Quản lý Marketing Quản lý bộ phận Kinh doanh  Founder khởi nghiệp Kinh doanh – Marketing"
207,Đào tạo chuyên ngành Digital Marketing thuộc ngành Quản trị kinh doanh,"Chương trình đào tạo chuẩn quốc tế và gắn với doanh nghiệp Chương trình đào tạo được thiết kế theo chuẩn đào tạo của các tổ chức kiểm định quốc tế AACSB (The Association to Advance Collegiate Schools of Business), và ACBSP (Accreditation Council for Business Schools and Programs). Tập trung vào kiến thức chuyên môn về kinh doanh hiện đại ở phạm vi quốc tế, các vấn đề tổng quan và chuyên sâu về thương mại quốc tế, các chính sách kinh tế đối ngoại, đặc điểm phát triển kinh tế thế giới trong xu hướng toàn cầu hóa, đặc biệt là những vấn đề về hội nhập kinh tế, chiến lược kinh doanh quốc tế, marketing quốc tế.   Sinh viên chuyên ngành Digital Marketing được làm việc thực tế từ 4 – 8 tháng trong học kỳ On the Job Training (OJT) tại các doanh nghiệp đầu ngành như FPT Online, FPT Sendo, FPT Securities , Amazing Tech, Đài Truyền hình TP. HCM (HTV), Idp Education, Tanigawa Vietnam, FPT Software, FPT IS, Long Châu, FPT Retail, FPT Telecom, Jw Marriott – Sun Group, HPT Vietnam Corporation… và hơn 300 doanh nghiệp là đối tác của Tập đoàn FPT trên toàn thế giới.  Đào tạo khả năng ứng dụng công nghệ trong thị trường luôn đổi mới, biến động Với lợi thế của một trường đại học danh tiếng và có thế mạnh về Công nghệ Thông tin, Trường Đại học FPT cung cấp cho sinh viên một môi trường học tập năng động, hiện đại với chương trình học bám sát nhu cầu doanh nghiệp và đón đầu xu hướng thị trường, trang bị kiến thức và kỹ năng thực chiến marketing bằng digital.  Sinh viên được đào tạo về cách thức sử dụng các công cụ Digital Marketing hiện đại, cập nhật, được học cách tối ưu hóa SEO (Search Engine Optimization), SEM (Search Engine Marketing), tăng hiệu suất tối ưu hóa công cụ tìm kiếm và chiến dịch trực tuyến. Sinh viên cũng trở nên thành thạo trong việc sử dụng các phần mềm quan trọng như SAP, và được nâng tầm khả năng vận dụng, thuần thục kỹ năng quản trị các nền tảng xã hội, các công cụ, nền tảng online để tối ưu hóa các mục tiêu và chiến lược Marketing. Sinh viên chuyên ngành Digital Marketing cũng được đào tạo chuyên sâu để có kiến thức thực tiễn về thiết kế giao diện người dùng (UX/UI) và cách triển khai bán hàng đa kênh (OmniChannel) để quảng bá hình ảnh, tăng độ nhận diện, và xây dựng uy tín cho doanh nghiệp.   Môi trường học tập đa trải nghiệm giúp phát triển cá nhân toàn diện  Đại học FPT tiên phong trong chủ trương phát triển cá nhân toàn diện cho sinh viên. Nhà trường hướng đến mục tiêu phát triển đồng thời trí tuệ, thể chất, tinh thần cho các bạn trẻ thông qua việc tổ chức đa dạng hoạt động trải nghiệm, gồm cả học thuật lẫn văn hóa nghệ thuật.   Sinh viên Đại học FPT được phát triển đam mê trên nhiều sân chơi, từ âm nhạc đến thể thao, từ truyền thống đến hiện đại, từ học thuật đến thực tiễn. Được trau dồi kỹ năng nghề nghiệp, từ tư duy thực thi đến tư duy quản trị và khởi nghiệp kinh doanh. Nhà trường chắp cánh cho các bạn trẻ để đạt được thành tựu trong cả lĩnh vực chuyên môn trí tuệ lẫn sức sáng tạo về tài năng văn-thể-mỹ.  Những tố chất được phát huy khi theo đuổi ngành học Marketing nói chung và chuyên ngành Digital Marketing nói riêng không dành cho tất cả mọi người. Một người làm trong lĩnh vực Marketing cần có tính sáng tạo và khả năng tự tạo động lực cho bản thân liên tục, nhằm giúp sản phẩm tạo ra độc đáo và mang dấu ấn riêng, nhất là trong thời đại AI được tích hợp sâu vào các hoạt động Marketing.   Bên cạnh, người làm Marketing cần có khả năng làm việc nhóm, khả năng giao tiếp tốt nhằm đảm bảo truyền tải được thông điệp hiệu quả đến các đối tượng mục tiêu.   Tuy Marketing thường được mặc định là lãnh địa cho sự sáng tạo, thế nhưng người học/làm Marketing ngày nay cũng được đòi hỏi phải có khả năng tuy duy logic. Vì con người tạo ra nhiều công cụ trong quá trình hình thành và phát triển Digital Marketing, rất khác biệt với Marketing truyền thống, việc hiểu rõ công cụ và sử dụng công cụ một cách hiệu quả, logic sẽ giúp khai thác các lợi thế và nguồn lực có sẵn một cách tối ưu."
208,Chương trình đào tạo chuyên ngành Digital Marketing thuộc ngành Quản trị kinh doanh,"Chương trình học gồm 9 học kỳ, mỗi năm 3 học kỳ.  HỌC KỲ   NĂNG LỰC ĐẦU RA Nền tảng   Sinh viên thông thạo kỹ năng đọc hiểu giáo trình Tiếng Anh, học tập và giao tiếp với giảng viên và sinh viên quốc tế, các kỹ năng hội nhập Học kỳ 1   Sinh viên hiểu và phân tích được các yếu tố bên trong và bên ngoài ảnh hưởng đến hoạt động kinh doanh của doanh nghiệp. Đồng thời, được rèn luyện thể chất, phát triển cá nhân toàn diện, có kỹ năng học tập hiệu quả bậc đại học. Học kỳ 2   Sinh viên vận dụng linh hoạt các kiến thức, kỹ năng quản trị kinh doanh và các công cụ phân tích vào triển khai điều hành, quản lý hoạt động kinh doanh; có kiến thức tổng quát về marketing. Học kỳ 3   Sinh viên hiểu và có kỹ năng phân tích môi trường tiếp thị; các yếu tố ảnh hưởng đến hoạt động tiếp thị của doanh nghiệp và sự phát triển của các xu hướng tiếp thị quan trọng. Học kỳ 4   Sinh viên có khả năng vận dụng các mô hình tiếp thị; và quản lý hoạt động marketing trong doanh nghiệp. Học kỳ 5   Sinh viên có kiến thức và kỹ năng chuyên sâu về Marketing hoặc có kiến thức và kỹ năng cơ bản về một chuyên ngành gần. Được đào tạo đào tạo ngoại ngữ thứ 2 là Tiếng Trung sơ cấp. Học kỳ 6   Sinh viên được làm việc thực tế từ 4 – 8 tháng tại các doanh nghiệp đầu ngành như FPT Software, FPT Retail, FPT Telecom, VnExpress, TPBank… và hơn 300 doanh nghiệp là đối tác của Tập đoàn FPT trên toàn thế giới. Học kỳ 7   Sinh viên được trang bị kiến thức về khởi sự doanh nghiệp. Học kỳ 8   Sinh viên có kiến thức cơ bản về khoa học xã hội, chính trị pháp luật, an ninh quốc phòng, góp phần hình thành thế giới quan và phương pháp luận khoa học. Đồng thời, được trang bị kiến thức làm việc về quản lý dự án thực tế và kiến thức thực hiện nghiên cứu khoa học. Học kỳ 9   Sinh viên thực hiện đồ án từ các đợt đặt hàng của doanh nghiệp, tự tin làm việc tại các cường quốc trên thế giới."
209,Tổng quan về chuyên ngành Kinh doanh Quốc tế thuộc ngành Quản trị Kinh doanh,"Chuẩn bị cho người học một sự nghiệp đầy triển vọng trên phạm vi toàn cầu, chuyên ngành Kinh doanh Quốc tế đào tạo kiến thức nền tảng vững chắc, trải nghiệm thực tế phong phú cho sinh viên ở các lĩnh vực quản trị chuỗi cung ứng, kho vận, quản trị tác nghiệp vận hành, nghiệp vụ xuất-nhập khẩu, xúc tiến thương mại toàn cầu, và đầu tư tài chính quốc tế.  Bên cạnh, với thế mạnh nội tại về công nghệ từ Tập đoàn FPT, người học sẽ được đào tạo về chuyển đổi số trong doanh nghiệp thông qua các hệ thống hoạch định nguồn lực (ERP) phổ biến như SAP. Mỗi dự án và đồ án tốt nghiệp của sinh viên thực hiện được dựa trên những bài toán xuất phát từ thị trường, mang lại cơ hội học hỏi và kinh nghiệm làm việc thực tế quý giá ngay từ trên giảng đường."
210,Triển vọng nghề nghiệp chuyên ngành Kinh doanh Quốc tế thuộc ngành Quản trị Kinh doanh,"Theo Trung tâm Dự báo Nhu cầu Nhân lực, ngành Kinh tế – Quản trị – Marketing – Xuất-nhập khẩu – Logistics chiếm 40% tổng nhu cầu tuyển dụng trên thị trường lao động. Trong 5 năm tới, với tăng trưởng kinh tế và hội nhập sâu rộng, các ngành nghề kinh doanh quốc tế sẽ có cơ hội rộng mở.  Toàn cầu hóa và hội nhập đang là xu hướng chính trong quan hệ quốc tế, đặc biệt là trong lĩnh vực kinh tế. Việt Nam tham gia Cộng đồng Kinh tế ASEAN, Hiệp định Thương mại Tự do EU-Việt Nam là những yếu tố quan trọng thúc đẩy phát triển kinh tế, đặc biệt trong lĩnh vực kinh doanh. Việc ký kết nhiều hiệp định kinh tế tầm cỡ thế giới và khu vực đã đưa nền kinh tế Việt Nam tăng trưởng nhanh chóng. Cùng với đó, xuất nhập khẩu, logistics cũng phát triển mạnh mẽ. Ngành kinh doanh quốc tế tại Việt Nam, mặc dù mới mẻ, nhưng đang có nhu cầu lớn về nhân lực. Sinh viên theo học ngành này có cơ hội phát triển bản thân và bước chân vào thị trường quốc tế sôi động.  Cử nhân tốt nghiệp chuyên ngành Kinh doanh Quốc tế tại Đại học FPT có thể đảm nhận các vị trí:  Chuyên viên Tư vấn kinh doanh quốc tế  Chuyên viên, Quản lý xuất nhập khẩu  Chuyên gia hoạch định tài chính quốc tế  Chuyên gia nghiên cứu thị trường quốc tế  Chuyên gia Marketing quốc tế  Nhà quản trị chuỗi cung ứng (logistics)  Chuyên gia tư vấn đầu tư quốc tế Chuyên viên chứng từ hải quan  Chuyên viên, Quản lý xúc tiến thương mại  Quản lý bộ phận kinh doanh quốc tế  Founder khởi nghiệp thương mại quốc tếTheo Trung tâm Dự báo Nhu cầu Nhân lực, ngành Kinh tế – Quản trị – Marketing – Xuất-nhập khẩu – Logistics chiếm 40% tổng nhu cầu tuyển dụng trên thị trường lao động. Trong 5 năm tới, với tăng trưởng kinh tế và hội nhập sâu rộng, các ngành nghề kinh doanh quốc tế sẽ có cơ hội rộng mở.  Toàn cầu hóa và hội nhập đang là xu hướng chính trong quan hệ quốc tế, đặc biệt là trong lĩnh vực kinh tế. Việt Nam tham gia Cộng đồng Kinh tế ASEAN, Hiệp định Thương mại Tự do EU-Việt Nam là những yếu tố quan trọng thúc đẩy phát triển kinh tế, đặc biệt trong lĩnh vực kinh doanh. Việc ký kết nhiều hiệp định kinh tế tầm cỡ thế giới và khu vực đã đưa nền kinh tế Việt Nam tăng trưởng nhanh chóng. Cùng với đó, xuất nhập khẩu, logistics cũng phát triển mạnh mẽ. Ngành kinh doanh quốc tế tại Việt Nam, mặc dù mới mẻ, nhưng đang có nhu cầu lớn về nhân lực. Sinh viên theo học ngành này có cơ hội phát triển bản thân và bước chân vào thị trường quốc tế sôi động.  Cử nhân tốt nghiệp chuyên ngành Kinh doanh Quốc tế tại Đại học FPT có thể đảm nhận các vị trí:  Chuyên viên Tư vấn kinh doanh quốc tế  Chuyên viên, Quản lý xuất nhập khẩu  Chuyên gia hoạch định tài chính quốc tế  Chuyên gia nghiên cứu thị trường quốc tế  Chuyên gia Marketing quốc tế  Nhà quản trị chuỗi cung ứng (logistics)  Chuyên gia tư vấn đầu tư quốc tế Chuyên viên chứng từ hải quan  Chuyên viên, Quản lý xúc tiến thương mại  Quản lý bộ phận kinh doanh quốc tế  Founder khởi nghiệp thương mại quốc tế"
