Topic,Context
"Sinh viên có được phép cho bạn bè, người thân ngủ lại qua đêm?","Không. Nếu có bạn bè/người thân ở lại, sinh viên có thể đăng ký với bộ phận Quản lý Ký túc xá để đăng ký cho người thân/bạn bè nghỉ tại phòng khách (nếu còn phòng để đáp ứng, phí lưu trú tại phòng khách theo quy định tài chính)."
Có được phép nấu ăn trong Ký túc xá?,Không
Có được phép nuôi các loại vật nuôi trong Ký túc xá?,Không
Các thiết bị được phép mang vào Ký túc xá?,"- Sinh viên được phép mang các thiết bị sau vào Ký túc xá: Tivi, 01 tủ lạnh dung tích dưới 110L/phòng, quạt, bàn là, ấm điện, đèn học.

- Sinh viên muốn được mang các thiết bị khác cần phải được sự đồng ý của bộ phận Quản lý Ký túc xá.

- Đồng thời sinh viên cũng không được phép tự lắp đặt thiết bị, đồ dùng cá nhân ảnh hưởng đến thiết kế ban đầu của phòng Ký túc xá."
Cách thức xin cấp giấy xác nhận sinh viên?,"Giấy xác nhận sinh viên bao gồm các loại: Giấy xác nhận tình trạng học tập (đang học tập bình thường, đang bảo lưu, đã hoàn thành chương trình học, đã tốt nghiệp, đã thôi học…); Giấy xác nhận để vay vốn ngân hàng; giấy xác nhận để hưởng ưu đãi giáo dục; giấy giới thiệu đăng ký xe máy; giấy xác nhận để làm vé tháng xe buyt (theo mẫu của Bộ Giao thông vận tải, có dán ảnh cá nhân).

Cách thức đề nghị cấp giấy xác nhận như sau:

- Bước 1: Cần có số dư 20,000đ trong tài khoản ví FAP tương đương lệ phí xác nhận sinh viên

- Bước 2: Đăng nhập FAP => Thủ tục/Đơn từ => Xin xác nhận sinh viên: Trình bày mục đích và nhập chính xác thông tin địa chỉ vào ô cập nhật địa chỉ.

Thời hạn trả kết quả: Sau 1-2 ngày làm việc. Sinh viên check phản hồi tại mục ""Xem đơn"""
Cách thức xin cấp Bảng điểm quá trình?,"- Bước 1: Cần có số dư 100,000đ trong tài khoản ví FAP tương đương lệ phí xin cấp bảng điểm quá trình (sinh viên được xin tối đa 5 bản)

- Bước 2: Đăng nhập FAP => Thủ tục/Đơn từ => Gửi đơn => Chọn loại đơn => Đề nghị cấp bảng điểm quá trình.

Sau khi gửi đơn, sinh viên sẽ check phản hồi của bộ phận xử lý tại mục ""Xem đơn"" sau 2 ngày làm việc"
	Sinh viên có được đăng ký sử dụng phòng học không?,"Sinh viên có thể đăng ký book phòng học vào slot 7, 8 các ngày để phục vụ mục đích học tập. Sinh viên đăng ký book phòng bằng cách liên hệ với phòng dịch vụ sinh viên qua email hoặc đăng ký trực tiếp tại quầy."
Cách đăng ký làm lại thẻ sinh viên?,"Sinh viên đăng ký qua email hoặc trực tiếp tại phòng Dịch vụ sinh viên.

Lệ phí làm lại thẻ sinh viên liên kết ngân hàng: 100,000đ

Thời gian chờ nhận thẻ: Trong vòng 1 tháng.

Ngoài thẻ sinh viên liên kết ngân hàng, sinh viên có thể đăng ký làm thẻ sinh viên tạm thời hoặc thẻ không liên kết để được cấp thẻ nhanh hơn."
Thời gian đăng ký mua BHYT ?,Hàng năm Nhà trường sẽ cho sinh viên đăng ký mua BHYT vào cuối năm khoảng từ tháng 9 đến tháng 12. Thời hạn cụ thể theo thông báo từ phòng Dịch vụ sinh viên được gửi qua email và đăng trên FAP. Sinh viên thuộc đối tượng bắt buộc phải mua BHYT và được hưởng hỗ trợ 30% từ ngân sách Nhà nước.
Sinh viên có bắt buộc phải mua BHYT tại Trường không?,"Sinh viên là đối tượng bắt buộc phải mua BHYT, tuy nhiên không bắt buộc phải mua BHYT tại Trường mà có thể đăng ký mua theo hộ gia đình, hoặc theo các diện ưu tiên khác.

Nếu đăng ký tại Trường, sinh viên sẽ được hướng ưu đãi 30% từ ngân sách nhà nước theo quy định của luật BHXH."
